"filename", "language", "JSON", "CSS", "Markdown", "HTML", "JavaScript JSX", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\ndlov\Documents\strava-app\src\images\dropdown_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\ndlov\Documents\strava-app\src\images\fortuneLogoFooter.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\ndlov\Documents\strava-app\src\images\fortune_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\ndlov\Documents\strava-app\src\images\stravaLogoFooter.svg", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\ndlov\Documents\strava-app\src\images\strava_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\ndlov\Documents\strava-app\src\index.css", "CSS", 0, 43, 0, 0, 0, 0, 0, 2, 8, 53
"c:\Users\ndlov\Documents\strava-app\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\ActivityDetailsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 291, 0, 0, 2, 16, 309
"c:\Users\ndlov\Documents\strava-app\src\pages\Challenges.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\DashboardPages\Heatmaps.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\DashboardPages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 79, 0, 0, 15, 15, 109
"c:\Users\ndlov\Documents\strava-app\src\pages\DashboardPages\MyGoals.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\DashboardPages\MyRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\DashboardPages\MySegments.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\ndlov\Documents\strava-app\src\pages\ExplorePages\Apps.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\ExplorePages\AthleteSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\ExplorePages\Clubs.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\ExplorePages\CreateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\ExplorePages\Explore.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\ExplorePages\SegmentExplore.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\ExplorePages\SegmentSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\ExplorePages\SubscriberPerks.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\LogIn.jsx", "JavaScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 10, 101
"c:\Users\ndlov\Documents\strava-app\src\pages\PostDetailsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 300, 0, 0, 15, 23, 338
"c:\Users\ndlov\Documents\strava-app\src\pages\SignUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 127, 0, 0, 4, 9, 140
"c:\Users\ndlov\Documents\strava-app\src\pages\TrainingPages\FitnessAndFreshness.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\ndlov\Documents\strava-app\src\pages\TrainingPages\MyActivities.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 2, 6, 27
